Location,Year,FactValueNumeric,FactValueNumericLow,FactValueNumericHigh,Value,latitude,longitude
Turkmenistan,2016,18.6,14.2,23.6,18.6[14.2-23.6],38.969719,59.556278
Tuvalu,2016,51.6,45,57.9,51.6[45-57.9],-7.109535,177.64933
Uganda,2016,5.3,3.6,7.3,5.3[3.6-7.3],1.373333,32.290275
Ukraine,2016,24.1,18.5,30.2,24.1[18.5-30.2],48.379433,31.16558
United Arab Emirates,2016,31.7,26.2,37.4,31.7[26.2-37.4],23.424076,53.847818
United Kingdom of Great Britain and Northern Ireland,2016,27.8,24.9,30.7,27.8[24.9-30.7],55.378051,-3.435973
United Republic of Tanzania,2016,8.4,6.3,11,8.4[6.3-11],-6.776012,39.178326
United States of America,2016,36.2,32.3,40.1,36.2[32.3-40.1],37.09024,-95.712891
Uruguay,2016,27.9,22.8,33.4,27.9[22.8-33.4],-32.522779,-55.765835
Uzbekistan,2016,16.6,12.4,21.2,16.6[12.4-21.2],41.377491,64.585262
Vanuatu,2016,25.2,19.6,31,25.2[19.6-31],-15.376706,166.959158
Venezuela (Bolivarian Republic of),2016,25.6,21.3,30.2,25.6[21.3-30.2],6.42375,-66.58973
Viet Nam,2016,2.1,1.4,3.1,2.1[1.4-3.1],14.058324,108.277199
Yemen,2016,17.1,13.3,21.3,17.1[13.3-21.3],15.552727,48.516388
Zambia,2016,8.1,5.8,10.7,8.1[5.8-10.7],-13.133897,27.849332
Zimbabwe,2016,15.5,12,19.2,15.5[12-19.2],-19.015438,29.154857
